f_id,f_ori_name,f_eng_name,langual,f_origen,edible_portion
680,"Bacón, ahumado, a la parrilla","Bacon, smoked, grilled",A0279 A0459 A0633 A0666 A0714 A0726 A0799 B1136 C0269 E0150 F0014 G0006 H0172 H0173 H0253 J0106 K0003 M0001 N0001 P0024,BEDCA,1.000000
681,"Café, con leche","Coffee infusion, with milk",A0268 A0465 A0639 A0663 A0710 A0845 B1305 C0155 E0123 F0014 G0012 H0148 H0184 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0109,BEDCA,1.000000
682,"Bacon, crudo, con grasa separable","Bacon, raw, with separable fat",A0279 A0459 A0633 A0666 A0714 A0726 A0797 B1136 C0269 E0150 F0003 G0003 H0173 H0253 J0103 K0003 M0001 N0001 P0024 R0212 R0495 Z0112,BEDCA,1.000000
683,"Batido lácteo de cacao, bajo en calorías","Milk shake, cacao, light",A0148 A0452 A0626 A0721 A0724 A0774 A0780 B1201 C0235 E0123 F0018 G0003 H0231 H0247 J0123 K0003 M0001 N0001 P0024 P0034 R0212 R0497 Z0112,BEDCA,1.000000
685,"Batido lácteo, de fresa, bajo en calorías","Milk shake, strawberry, light",A0148 A0452 A0626 A0721 A0724 A0774 A0780 B1201 C0235 E0123 F0014 G0003 H0247 H0395 J0123 K0003 M0001 N0001 P0024 P0034 R0212 R0497 Z0112,BEDCA,1.000000
686,"Cabrito, parte s/e, crudo, con grasa separable","Kid, part n/e, raw, with separable fat",A0150 A0459 A0633 A0714 A0726 A0737 A0794 B2702 C0269 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0018 Z0112,BEDCA,0.700000
687,Callos de ternera,"Tripe, veal, raw",A0150 A0459 A0633 A0716 A0726 A0739 A0796 B1201 C0212 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
688,"Cerdo, lomo, asado","Pork, loin, roasted",A0150 A0459 A0633 A0714 A0726 A0737 A0799 B1136 C0269 E0150 F0014 G0005 H0001 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0031 Z0112,BEDCA,1.000000
689,"Cerdo, pierna, cruda, con grasa separable","Pork, leg, raw, with separable fat",A0150 A0459 A0633 A0714 A0726 A0737 A0794 B1136 C0269 E0150 F0003 G0001 H0001 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0024 Z0112,BEDCA,0.750000
691,Queso afuega'l pitu,"Cheese, ""afuega'l pitu"" type",A0313 A0452 A0626 A0720 A0724 A0776 B1201 C0245 E0146 F0018 G0003 H0107 H0289 H0298 J0131 K0003 M0001 N0001 P0024 R0212 R0497 Z0073 Z0112,BEDCA,1.000000
692,Queso ahumado de aliva,"Cheese, ""ahumado de aliva"" type",A0313 A0452 A0626 A0720 A0724 A0776 B2247 C0245 E0146 F0018 G0003 H0107 H0291 H0298 J0106 K0003 M0001 N0001 P0024 R0212 R0497 Z0073 Z0112,BEDCA,1.000000
693,Queso cantabria,"Cheese, ""cantabria"" type",A0313 A0452 A0626 A0720 A0724 A0776 B1201 C0245 E0146 F0018 G0003 H0107 H0288 H0298 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
694,Queso casín,"Cheese, ""casin"" type",A0311 A0452 A0626 A0720 A0724 A0776 B1201 C0245 E0146 F0018 G0003 H0107 H0293 H0298 J0131 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
