internal_id,food_name,food_name_original,food_name_es,food_name_en,food_name_normalized,sci_name,langual_codes,source,source_id,country,language,food_type,category,subcategory,state,preparation,edible_portion,reference_basis,kcal_100g,kj_100g,energy_calculated,protein_g_100g,carbohydrates_g_100g,sugars_g_100g,starch_g_100g,fat_g_100g,saturated_fat_g_100g,monounsaturated_fat_g_100g,polyunsaturated_fat_g_100g,trans_fat_g_100g,omega3_g_100g,omega6_g_100g,fiber_g_100g,sodium_mg_100g,salt_g_100g,salt_calculated,cholesterol_mg_100g,water_g_100g,alcohol_g_100g,calcium_mg_100g,iron_mg_100g,magnesium_mg_100g,phosphorus_mg_100g,potassium_mg_100g,zinc_mg_100g,copper_mg_100g,iodine_ug_100g,selenium_ug_100g,vitamin_a_ug_100g,vitamin_c_mg_100g,vitamin_d_ug_100g,vitamin_e_mg_100g,vitamin_b6_mg_100g,vitamin_b12_ug_100g,folate_ug_100g,thiamine_mg_100g,riboflavin_mg_100g,niacin_mg_100g,pantothenic_acid_mg_100g,biotin_ug_100g,added_sugars_g_100g,lactose_g_100g,polyols_g_100g,choline_mg_100g,caffeine_mg_100g,manganese_mg_100g,fluoride_mg_100g,arachidic_acid_g_100g,lauric_acid_g_100g,myristic_acid_g_100g,palmitic_acid_g_100g,stearic_acid_g_100g,oleic_acid_g_100g,linoleic_acid_g_100g,alpha_linolenic_acid_g_100g,arachidonic_acid_g_100g,epa_g_100g,dha_g_100g,brand,barcode,package_size_g,package_price,price_per_kg,price_per_100g,cost_per_20g_protein,cost_per_30g_protein,protein_per_euro,search_name,search_tokens,aliases,data_quality_score,preferred_record,duplicate_group_id,validation_status,validation_notes,notes,created_at,updated_at
BEDCA-680,"Bacón, ahumado, a la parrilla","Bacón, ahumado, a la parrilla","Bacón, ahumado, a la parrilla","Bacon, smoked, grilled",bacon ahumado a la parrilla,,A0279 A0459 A0633 A0666 A0714 A0726 A0799 B1136 C0269 E0150 F0014 G0006 H0172 H0173 H0253 J0106 K0003 M0001 N0001 P0024,BEDCA,680,ES,es,generic,,,,,1.0,100g,290.51,1215.5,False,23.4,0.0,0.0,0.0,22.1,8.3,9.3,2.9,,,,0.0,1760.0,4.4,True,80.0,50.5,0.0,7.0,0.7,21.0,190.0,330.0,2.2,0.06,7.0,12.0,0.0,,0.6,0.07,0.46,1.0,2.0,0.9,0.16,7.0,1.22,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bacón, ahumado, a la parrilla",bacon bacons ahumado ahumados la las parrilla parrillas smoked smokeds grilled grilleds,"Bacon, smoked, grilled",98,True,GRP-00343,OK,,,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-681,"Café, con leche","Café, con leche","Café, con leche","Coffee infusion, with milk",cafe con leche,,A0268 A0465 A0639 A0663 A0710 A0845 B1305 C0155 E0123 F0014 G0012 H0148 H0184 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0109,BEDCA,681,ES,es,generic,,,,,1.0,100g,37.78,158.07,False,1.7,2.45,2.3,0.15,2.36538,1.2032,0.6235,0.0656,,,,0.0,23.0,0.0575,True,8.0,94.0,0.0,55.0,0.05,8.0,42.0,90.0,0.18,,17.4,2.8,15.8333,0.5,0.01,0.04,0.01,0.1,1.66,0.02,0.08,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Café, con leche",cafe cafes con cons leche leches coffee coffees infusion infusions with withs milk milks,"Coffee infusion, with milk",98,True,GRP-00599,OK,,,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-682,"Bacon, crudo, con grasa separable","Bacon, crudo, con grasa separable","Bacon, crudo, con grasa separable","Bacon, raw, with separable fat",bacon crudo con grasa separable,,A0279 A0459 A0633 A0666 A0714 A0726 A0797 B1136 C0269 E0150 F0003 G0003 H0173 H0253 J0103 K0003 M0001 N0001 P0024 R0212 R0495 Z0112,BEDCA,682,ES,es,generic,,,crudo,,1.0,100g,544.2,2276.93,False,8.7,0.09,,,57.5,21.26,26.33,6.75,,,,0.0,680.0,1.7,True,100.0,33.7,0.0,13.0,1.2,12.0,108.0,160.0,1.8,0.06,1.2,25.0,0.01,0.0,0.01,0.23,0.3,0.8,2.0,0.36,0.11,1.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bacon, crudo, con grasa separable",bacon bacons crudo crudos con cons grasa grasas separable separables raw raws with withs fat fats,"Bacon, raw, with separable fat",93,True,GRP-00345,OK,,,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-683,"Batido lácteo de cacao, bajo en calorías","Batido lácteo de cacao, bajo en calorías","Batido lácteo de cacao, bajo en calorías","Milk shake, cacao, light",batido lacteo de cacao bajo en calorias,,A0148 A0452 A0626 A0721 A0724 A0774 A0780 B1201 C0235 E0123 F0018 G0003 H0231 H0247 J0123 K0003 M0001 N0001 P0024 P0034 R0212 R0497 Z0112,BEDCA,683,ES,es,generic,,,,,1.0,100g,48.09,201.2,False,3.1,4.6,,,1.9,0.3,0.0,0.1,,,,0.0,88.3,0.2208,True,0.0,90.4,0.0,110.0,1.1,24.6,95.0,180.7,0.9,,10.6,3.7,70.3,4.2,0.3,0.7,0.15,0.36,21.1,0.1,0.18,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Batido lácteo de cacao, bajo en calorías",batido batidos lacteo lacteos de des cacao cacaos bajo bajos en ens calorias caloria milk milks shake shakes light lights,"Milk shake, cacao, light",93,True,GRP-00383,OK,,,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-685,"Batido lácteo, de fresa, bajo en calorías","Batido lácteo, de fresa, bajo en calorías","Batido lácteo, de fresa, bajo en calorías","Milk shake, strawberry, light",batido lacteo de fresa bajo en calorias,,A0148 A0452 A0626 A0721 A0724 A0774 A0780 B1201 C0235 E0123 F0014 G0003 H0247 H0395 J0123 K0003 M0001 N0001 P0024 P0034 R0212 R0497 Z0112,BEDCA,685,ES,es,generic,,,,,1.0,100g,111.49,466.48,False,3.8,22.9,,,0.34,0.3,0.0,0.1,,,,1.6,88.3,0.2208,True,3.4,72.9,0.0,111.6,1.1,24.6,52.8,180.7,0.9,,10.6,3.7,70.3,4.2,0.3,0.7,0.15,0.2,21.1,0.1,0.13,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Batido lácteo, de fresa, bajo en calorías",batido batidos lacteo lacteos de des fresa fresas bajo bajos en ens calorias caloria milk milks shake shakes strawberry strawberrys light lights,"Milk shake, strawberry, light",93,True,GRP-00384,OK,,,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-686,"Cabrito, parte s/e, crudo, con grasa separable","Cabrito, parte s/e, crudo, con grasa separable","Cabrito, parte s/e, crudo, con grasa separable","Kid, part n/e, raw, with separable fat",cabrito parte s e crudo con grasa separable,,A0150 A0459 A0633 A0714 A0726 A0737 A0794 B2702 C0269 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0018 Z0112,BEDCA,686,ES,es,generic,,,crudo,,0.7,100g,113.79,476.1,False,19.3,,,,4.0,1.5,2.2,0.3,,,,0.0,82.0,0.205,True,56.0,76.7,0.0,9.0,0.9,22.0,220.0,385.0,2.0,,5.0,1.0,0.0,0.0,0.4,0.09,0.3,2.0,5.0,0.32,0.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cabrito, parte s/e, crudo, con grasa separable",cabrito cabritos parte partes crudo crudos con cons grasa grasas separable separables kid kids part parts raw raws with withs fat fats,"Kid, part n/e, raw, with separable fat",87,True,GRP-00585,OK,,,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-687,Callos de ternera,Callos de ternera,Callos de ternera,"Tripe, veal, raw",callos de ternera,,A0150 A0459 A0633 A0716 A0726 A0739 A0796 B1201 C0212 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,687,ES,es,generic,,,,,1.0,100g,94.69,396.2,False,14.56,0.0,,,3.95,2.03,1.31,0.07,0.1872,0.025,0.083,0.0,46.0,0.115,True,95.0,80.0,0.0,9.0,1.95,8.0,79.0,270.0,2.47,0.09,,45.6,0.0,,,0.08,0.04,1.54,2.0,0.01,0.17,0.06,0.56,,,,,,,,,,0.007,0.121,0.861,0.839,0.919,0.06,0.018,0.023,0.006,0.001,,,,,,,,,,Callos de ternera,callos callo de des ternera terneras tripe tripes veal veals raw raws,"Tripe, veal, raw",93,True,GRP-00623,OK,,,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-688,"Cerdo, lomo, asado","Cerdo, lomo, asado","Cerdo, lomo, asado","Pork, loin, roasted",cerdo lomo asado,,A0150 A0459 A0633 A0714 A0726 A0737 A0799 B1136 C0269 E0150 F0014 G0005 H0001 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0031 Z0112,BEDCA,688,ES,es,generic,,,asado,,1.0,100g,235.9,987.02,False,27.0,0.0,0.0,0.0,14.2707,5.5,6.5,1.6,,,,0.0,60.0,0.15,True,75.0,56.1,0.0,12.0,1.1,20.0,170.0,290.0,2.4,,3.0,20.0,,,,0.1,0.36,0.8,4.0,0.52,0.3,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cerdo, lomo, asado",cerdo cerdos lomo lomos asado asados pork porks loin loins roasted roasteds,"Pork, loin, roasted",98,True,GRP-00714,OK,,,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-689,"Cerdo, pierna, cruda, con grasa separable","Cerdo, pierna, cruda, con grasa separable","Cerdo, pierna, cruda, con grasa separable","Pork, leg, raw, with separable fat",cerdo pierna cruda con grasa separable,,A0150 A0459 A0633 A0714 A0726 A0737 A0794 B1136 C0269 E0150 F0003 G0001 H0001 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0024 Z0112,BEDCA,689,ES,es,generic,,,crudo,,0.75,100g,211.62,885.4,False,19.0,0.0,,,15.2,5.1,6.4,2.5,,,,0.0,80.0,0.2,True,63.0,65.8,0.0,8.0,1.5,22.0,230.0,370.0,2.5,0.02,5.0,12.0,0.1,0.0,0.01,0.0,0.45,1.0,5.0,0.89,0.2,8.7,1.32,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cerdo, pierna, cruda, con grasa separable",cerdo cerdos pierna piernas cruda crudas con cons grasa grasas separable separables pork porks leg legs raw raws with withs fat fats,"Pork, leg, raw, with separable fat",93,True,GRP-00719,OK,,,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-691,Queso afuega'l pitu,Queso afuega'l pitu,Queso afuega'l pitu,"Cheese, ""afuega'l pitu"" type",queso afuega l pitu,,A0313 A0452 A0626 A0720 A0724 A0776 B1201 C0245 E0146 F0018 G0003 H0107 H0289 H0298 J0131 K0003 M0001 N0001 P0024 R0212 R0497 Z0073 Z0112,BEDCA,691,ES,es,generic,,,,,1.0,100g,467.49,1955.98,False,26.78,,,,40.56,,,,,,,0.0,5882.5,14.7063,True,100.0,27.8,0.0,1311.66,1.5,122.75,3001.93,1410.24,4.91,650.0,,,239.08,0.0,0.25,0.6,0.09,1.55,16.0,0.04,0.3,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Queso afuega'l pitu,queso quesos afuega afuegas pitu pitus cheese cheeses type types,"Cheese, ""afuega'l pitu"" type",82,True,GRP-03188,OK,,,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
